é¿éøãGêﬂí≤êÆånóÒ,çëì‡ëçê∂éY(éxèoë§),ñØä‘ç≈èIè¡îÔéxèo,â∆åvç≈èIè¡îÔéxèo,èúÇ≠éùÇøâ∆ÇÃãAëÆâ∆í¿,ñØä‘èZëÓ,ñØä‘äÈã∆ê›îı,ñØä‘ç›å…ïœìÆ,ê≠ï{ç≈èIè¡îÔéxèo,åˆìIå≈íËéëñ{å`ê¨,åˆìIç›å…ïœìÆ,èÉóAèo,óAèo,óAì¸,äJç∑,åà’óòìæ,çëì‡ëçèäìæ,èÉéÛéÊ,éÛéÊ,éxï•,çëñØëçèäìæ,çëì‡é˘óv,ñØä‘é˘óv,åˆìIé˘óv,ëçå≈íËéëñ{å`ê¨,ç≈èIé˘óv
1994/ 1- 3.,"446,312.90","247,538.10","243,655.50","208,609.10","29,812.00","66,259.20","4,229.00","71,357.30","47,106.20",-542.3,"-7,719.90","37,756.00","45,475.90","-11,726.60","19,378.30","465,691.20","4,128.10","14,535.00","10,406.90","469,819.30","462,348.70","346,476.40","115,945.70","139,771.30","442,259.70"
4- 6.,"443,745.80","248,757.60","244,818.50","209,570.20","31,118.50","66,065.00","-2,884.50","72,243.70","48,020.20",622.8,"-8,364.00","37,963.90","46,327.90","-11,833.60","18,742.30","462,488.00","3,801.00","14,474.10","10,673.00","466,289.10","460,007.50","341,603.20","118,663.60","141,504.80","445,542.20"
7- 9.,"448,947.20","250,618.80","246,657.60","211,192.70","33,628.10","65,999.20",-280.5,"72,789.00","46,302.40",806.2,"-9,067.10","38,658.40","47,725.50","-11,848.80","18,142.50","467,089.70","3,868.80","14,796.00","10,927.10","470,958.60","465,728.00","348,123.20","117,732.40","142,085.70","448,143.60"
10-12.,"447,169.50","250,778.20","246,772.20","211,130.10","32,218.20","67,028.90","-1,602.00","72,950.00","45,588.40",853.3,"-9,378.70","38,820.60","48,199.30","-11,266.90","18,529.50","465,699.00","3,896.50","15,308.50","11,412.00","469,595.50","464,007.00","346,876.30","117,256.40","141,349.50","447,580.20"
1995/ 1- 3.,"452,118.90","252,932.40","248,859.50","213,015.00","31,121.50","68,647.70","2,253.70","74,470.40","43,641.20",-27.7,"-10,499.90","39,311.70","49,811.60","-10,420.40","18,954.90","471,073.80","3,960.50","15,611.90","11,651.40","475,034.40","469,834.50","353,609.70","116,211.40","140,431.20","449,541.40"
4- 6.,"456,278.20","254,883.50","250,727.80","214,693.30","30,381.50","71,088.00","1,116.70","74,611.20","45,421.90",199.2,"-11,408.40","39,897.70","51,306.10","-10,015.40","19,769.50","476,047.70","3,173.30","14,794.50","11,621.20","479,221.00","474,637.70","356,440.90","118,229.60","144,025.10","454,600.60"
7- 9.,"461,710.80","256,355.80","252,126.40","215,911.00","29,741.60","72,334.50","2,105.50","75,543.00","48,925.70",173.1,"-13,893.60","40,273.70","54,167.30","-9,574.70","20,654.60","482,365.40","4,653.60","18,627.90","13,974.40","487,019.00","481,968.90","359,668.90","122,467.30","147,935.90","459,113.20"
10-12.,"462,860.20","258,169.50","253,903.10","217,487.90","30,431.20","73,525.10","1,032.70","75,789.00","49,133.80",235.2,"-16,596.60","40,158.00","56,754.50","-8,859.70","21,317.00","484,177.20","4,931.40","19,247.00","14,315.50","489,108.70","485,113.90","362,304.00","122,957.50","150,014.20","461,227.00"
1996/ 1- 3.,"466,624.60","257,412.00","253,138.40","216,544.70","31,805.60","73,285.00","1,643.00","76,459.00","51,647.10",596.8,"-17,004.20","40,800.60","57,804.80","-9,219.70","20,783.80","487,408.40","5,621.00","11,824.60","6,203.70","493,029.30","489,115.90","363,089.80","126,283.10","153,194.10","464,150.90"
4- 6.,"472,495.60","260,509.60","256,231.60","219,409.90","33,278.50","75,804.00","2,978.70","76,391.60","50,919.70",190.8,"-18,807.60","40,751.80","59,559.40","-8,769.80","19,949.60","492,445.20","6,292.10","12,020.70","5,728.60","498,737.20","496,569.00","371,479.60","125,201.10","156,557.70","469,058.60"
7- 9.,"473,144.80","260,785.70","256,479.10","219,443.80","34,510.50","76,855.00","1,475.30","76,724.80","48,653.00",226.9,"-17,523.70","41,971.60","59,495.40","-8,562.60","18,950.90","492,095.70","5,996.10","11,510.10","5,513.90","498,091.80","495,898.60","372,502.30","123,430.30","156,748.50","471,089.70"
10-12.,"478,467.50","263,403.40","259,099.10","221,832.60","35,106.60","76,900.70","2,464.60","77,853.50","47,475.20",259,"-16,496.10","43,759.20","60,255.30","-8,499.30","18,453.30","496,920.80","6,173.30","11,667.00","5,493.70","503,094.00","500,127.60","376,627.70","123,489.00","156,269.20","475,456.20"
1997/ 1- 3.,"479,690.10","267,268.20","262,992.90","225,508.10","34,090.30","77,660.50",-355.8,"77,863.30","46,634.70",139.4,"-15,675.40","45,099.20","60,774.70","-7,935.10","17,905.30","497,595.50","6,690.90","12,382.90","5,692.00","504,286.40","500,314.30","377,647.60","122,622.60","155,441.10","479,393.20"
4- 6.,"476,018.80","260,235.20","256,040.90","218,417.40","30,911.70","77,803.80","2,476.80","78,052.80","46,674.40",79,"-12,734.50","47,011.60","59,746.10","-7,480.60","18,272.50","494,291.30","6,778.40","12,349.20","5,570.80","501,069.70","493,553.10","370,785.80","122,807.60","152,825.40","473,137.70"
7- 9.,"477,004.90","260,611.80","256,487.60","218,697.40","29,063.50","78,230.00","4,545.50","77,975.50","47,117.90",164.4,"-13,216.40","46,382.80","59,599.20","-7,487.30","18,321.90","495,326.80","5,911.80","11,630.90","5,719.10","501,238.50","495,159.90","371,984.80","123,217.80","152,042.80","472,135.70"
10-12.,"477,205.40","260,113.30","255,894.60","217,945.00","27,891.60","79,911.80","3,757.90","78,392.30","44,815.40",457.1,"-10,849.40","47,395.70","58,245.10","-7,284.70","19,005.30","496,210.70","7,026.60","13,230.60","6,204.00","503,237.30","493,213.30","371,483.60","121,727.90","150,739.20","472,850.50"
1998/ 1- 3.,"471,375.50","259,753.10","255,283.10","217,167.40","27,185.80","78,679.20","3,511.30","78,280.30","42,235.20",242.4,"-11,533.60","46,178.30","57,711.90","-6,978.10","19,765.70","491,141.20","6,626.80","12,470.50","5,843.70","497,768.00","488,015.30","368,930.40","119,020.00","146,439.70","467,422.20"
4- 6.,"469,288.80","259,502.70","254,748.90","216,474.40","26,659.20","77,937.90","1,599.70","78,886.60","41,862.30",172.5,"-9,905.80","45,262.00","55,167.70","-7,426.50","19,527.90","488,816.60","5,622.90","11,722.80","6,099.80","494,439.60","484,830.90","365,582.00","119,225.60","144,825.70","467,155.40"
7- 9.,"470,145.70","261,363.30","256,397.60","217,939.30","26,054.00","77,402.50",-403.9,"79,314.10","43,803.40",-81.8,"-9,826.60","45,432.30","55,258.90","-7,479.40","19,071.40","489,217.10","6,361.40","11,836.70","5,475.20","495,578.50","485,609.70","364,401.30","121,265.50","145,456.80","470,050.50"
10-12.,"473,941.10","260,989.00","255,878.20","217,252.80","25,483.30","75,354.60","2,429.10","79,869.90","48,307.00",-601.5,"-9,331.80","44,607.70","53,939.40","-8,558.40","19,522.90","493,464.00","5,791.50","10,091.00","4,299.60","499,255.50","489,480.20","364,068.60","125,616.80","146,825.00","471,619.70"
1999/ 1- 3.,"467,414.30","261,991.30","256,805.70","217,953.70","25,239.80","73,232.50","-3,512.90","80,735.80","48,490.90",-88,"-10,892.60","44,707.80","55,600.40","-7,782.50","20,445.10","487,859.40","5,156.50","9,860.50","4,704.00","493,015.90","483,805.60","357,083.70","127,063.90","144,506.00","470,065.50"
4- 6.,"469,177.50","262,249.60","256,902.20","217,801.50","26,877.70","73,817.00","-3,777.30","81,532.10","47,695.20",-7.6,"-11,523.60","45,110.80","56,634.40","-7,685.70","19,923.80","489,101.20","6,237.30","10,158.40","3,921.10","495,338.50","486,018.60","359,148.50","127,196.60","145,872.20","472,003.30"
7- 9.,"471,678.10","264,066.90","258,535.80","219,183.70","27,140.00","73,391.80","-3,443.10","82,477.90","46,233.20",-9.8,"-11,020.00","47,048.90","58,068.90","-7,158.90","18,979.60","490,657.70","6,342.20","9,961.10","3,618.90","496,999.90","487,569.00","361,061.30","126,799.00","144,333.80","474,201.10"
10-12.,"471,848.90","264,798.70","259,295.70","219,703.00","26,009.40","74,183.80","-3,570.00","82,803.90","46,018.20",-387.8,"-11,687.10","48,122.70","59,809.80","-6,320.20","20,093.00","491,941.90","6,656.50","10,163.70","3,507.30","498,598.40","487,879.10","361,518.60","126,638.60","143,982.60","474,754.20"
2000/ 1- 3.,"479,860.30","266,285.20","261,034.00","221,194.40","26,274.50","76,969.70","-1,610.00","83,857.00","43,491.20",179.8,"-9,119.90","50,708.20","59,828.10","-6,467.20","18,312.30","498,172.60","6,355.10","10,531.10","4,176.00","504,527.70","493,602.20","367,928.70","125,827.20","144,921.20","480,612.00"
4- 6.,"482,133.60","265,904.40","260,989.00","220,907.40","26,955.10","75,878.90","1,321.90","84,867.00","43,194.50",40,"-9,887.50","52,332.50","62,220.00","-6,140.60","19,086.40","501,220.00","7,696.50","11,319.50","3,623.00","508,916.50","496,000.60","369,688.80","126,465.80","144,095.70","480,400.70"
7- 9.,"482,256.80","266,396.30","261,722.10","221,390.80","26,428.30","78,476.90","-1,031.70","85,491.20","42,393.80",-47.8,"-10,673.70","53,199.10","63,872.80","-5,176.60","18,700.30","500,957.00","7,662.40","11,411.70","3,749.40","508,619.40","496,410.80","370,265.60","126,285.40","145,675.90","482,669.60"
