実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"446,312.9 ","247,538.1 ","243,655.5 ","208,609.1 ","29,812.0 ","66,259.2 ","4,229.0 ","71,357.3 ","47,106.2 ",-542.3 ,"-7,719.9 ","37,756.0 ","45,475.9 ","-11,726.6 ",,"19,378.3 ","465,691.2 ","4,128.1 ","14,535.0 ","10,406.9 ","469,819.3 ",,"462,348.7 ","346,476.4 ","115,945.7 ",,"139,771.3 ",,"442,259.7 ",,,
4- 6.,"443,745.8 ","248,757.6 ","244,818.5 ","209,570.2 ","31,118.5 ","66,065.0 ","-2,884.5 ","72,243.7 ","48,020.2 ",622.8 ,"-8,364.0 ","37,963.9 ","46,327.9 ","-11,833.6 ",,"18,742.3 ","462,488.0 ","3,801.0 ","14,474.1 ","10,673.0 ","466,289.1 ",,"460,007.5 ","341,603.2 ","118,663.6 ",,"141,504.8 ",,"445,542.2 ",,,
7- 9.,"448,947.2 ","250,618.8 ","246,657.6 ","211,192.7 ","33,628.1 ","65,999.2 ",-280.5 ,"72,789.0 ","46,302.4 ",806.2 ,"-9,067.1 ","38,658.4 ","47,725.5 ","-11,848.8 ",,"18,142.5 ","467,089.7 ","3,868.8 ","14,796.0 ","10,927.1 ","470,958.6 ",,"465,728.0 ","348,123.2 ","117,732.4 ",,"142,085.7 ",,"448,143.6 ",,,
10-12.,"447,169.5 ","250,778.2 ","246,772.2 ","211,130.1 ","32,218.2 ","67,028.9 ","-1,602.0 ","72,950.0 ","45,588.4 ",853.3 ,"-9,378.7 ","38,820.6 ","48,199.3 ","-11,266.9 ",,"18,529.5 ","465,699.0 ","3,896.5 ","15,308.5 ","11,412.0 ","469,595.5 ",,"464,007.0 ","346,876.3 ","117,256.4 ",,"141,349.5 ",,"447,580.2 ",,,
1995/ 1- 3.,"452,118.9 ","252,932.4 ","248,859.5 ","213,015.0 ","31,121.5 ","68,647.7 ","2,253.7 ","74,470.4 ","43,641.2 ",-27.7 ,"-10,499.9 ","39,311.7 ","49,811.6 ","-10,420.4 ",,"18,954.9 ","471,073.8 ","3,960.5 ","15,611.9 ","11,651.4 ","475,034.4 ",,"469,834.5 ","353,609.7 ","116,211.4 ",,"140,431.2 ",,"449,541.4 ",,,
4- 6.,"456,278.2 ","254,883.5 ","250,727.8 ","214,693.3 ","30,381.5 ","71,088.0 ","1,116.7 ","74,611.2 ","45,421.9 ",199.2 ,"-11,408.4 ","39,897.7 ","51,306.1 ","-10,015.4 ",,"19,769.5 ","476,047.7 ","3,173.3 ","14,794.5 ","11,621.2 ","479,221.0 ",,"474,637.7 ","356,440.9 ","118,229.6 ",,"144,025.1 ",,"454,600.6 ",,,
