ダウンロードした時刻：2021/12/21 15:08:50,,
,,
,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,均質番号
2021/1/1,快晴,1
2021/1/2,快晴,1
2021/1/3,晴,1
2021/1/4,晴一時曇,1
2021/1/5,曇,1
2021/1/6,曇,1
2021/1/7,晴一時曇,1
2021/1/8,晴時々曇,1
2021/1/9,晴,1
2021/1/10,快晴,1
2021/1/11,曇,1
2021/1/12,曇後雨一時みぞれ,1
2021/1/13,快晴,1
2021/1/14,快晴,1
2021/1/15,曇,1
2021/1/16,晴,1
2021/1/17,曇,1
2021/1/18,曇後晴,1
2021/1/19,快晴,1
2021/1/20,快晴,1
2021/1/21,晴,1
2021/1/22,晴後一時曇,1
2021/1/23,雨一時曇,1
2021/1/24,雨時々曇,1
2021/1/25,薄曇一時晴,1
2021/1/26,曇一時晴,1
2021/1/27,曇後一時晴,1
2021/1/28,曇後雨一時みぞれ,1
2021/1/29,晴,1
2021/1/30,快晴,1
2021/1/31,快晴,1
2021/2/1,曇時々晴、あられを伴う,1
2021/2/2,晴時々曇一時雨,1
2021/2/3,晴,1
2021/2/4,快晴,1
2021/2/5,晴一時薄曇,1
2021/2/6,快晴,1
2021/2/7,晴後一時曇,1
2021/2/8,曇時々晴,1
2021/2/9,快晴,1
2021/2/10,晴後薄曇,1
2021/2/11,晴後時々薄曇,1
2021/2/12,薄曇,1
2021/2/13,晴時々薄曇,1
2021/2/14,晴時々曇,1
2021/2/15,大雨,1
2021/2/16,快晴,1
2021/2/17,晴後一時曇,1
2021/2/18,晴後曇,1
2021/2/19,快晴,1
2021/2/20,快晴,1
2021/2/21,快晴,1
2021/2/22,快晴,1
2021/2/23,晴後一時薄曇,1
2021/2/24,晴時々薄曇,1
2021/2/25,晴時々薄曇,1
2021/2/26,曇,1
2021/2/27,薄曇後晴,1
2021/2/28,晴一時薄曇,1
2021/3/1,薄曇一時晴,1
2021/3/2,雨時々曇,1
2021/3/3,晴,1
2021/3/4,晴後薄曇,1
2021/3/5,曇後一時雨,1
2021/3/6,曇,1
2021/3/7,曇,1
2021/3/8,雨一時曇,1
2021/3/9,曇一時雨,1
2021/3/10,晴,1
2021/3/11,快晴,1
2021/3/12,曇,1
2021/3/13,大雨、雷を伴う,1
2021/3/14,快晴,1
2021/3/15,快晴,1
2021/3/16,薄曇時々晴,1
2021/3/17,晴後薄曇,1
2021/3/18,快晴,1
2021/3/19,晴時々薄曇,1
2021/3/20,曇,1
2021/3/21,大雨,1
2021/3/22,曇後一時雨,1
2021/3/23,快晴,1
2021/3/24,晴時々薄曇,1
2021/3/25,曇後一時雨,1
2021/3/26,晴,1
2021/3/27,晴後薄曇,1
2021/3/28,曇一時雨,1
2021/3/29,晴後時々薄曇,1
2021/3/30,曇一時晴,1
2021/3/31,晴,1
2021/4/1,曇後晴,1
2021/4/2,曇,1
2021/4/3,晴,1
2021/4/4,晴後曇時々雨,1
2021/4/5,雨時々曇,1
2021/4/6,曇,1
2021/4/7,晴,1
2021/4/8,晴時々薄曇一時雨,1
2021/4/9,晴後曇,1
2021/4/10,晴,1
2021/4/11,晴,1
2021/4/12,晴後時々曇,1
2021/4/13,曇時々雨,1
2021/4/14,雨,1
2021/4/15,晴後薄曇,1
2021/4/16,曇,1
2021/4/17,曇時々雨,1
2021/4/18,晴,1
2021/4/19,快晴,1
2021/4/20,快晴,1
2021/4/21,快晴,1
2021/4/22,晴時々薄曇,1
2021/4/23,晴,1
2021/4/24,薄曇一時晴,1
2021/4/25,薄曇後時々晴,1
2021/4/26,快晴,1
2021/4/27,薄曇時々晴,1
2021/4/28,曇,1
2021/4/29,雨,1
2021/4/30,快晴,1
2021/5/1,晴時々曇一時雨,1
2021/5/2,晴後曇時々雨,1
2021/5/3,晴時々曇一時雨,1
2021/5/4,晴後薄曇,1
2021/5/5,雨時々曇一時晴,1
2021/5/6,薄曇時々雨,1
2021/5/7,曇後雨,1
2021/5/8,晴後曇,1
2021/5/9,晴一時曇,1
2021/5/10,晴,1
2021/5/11,曇,1
2021/5/12,曇,1
2021/5/13,雨,1
2021/5/14,薄曇一時晴,1
2021/5/15,薄曇一時晴,1
2021/5/16,曇時々雨,1
2021/5/17,曇時々雨,1
2021/5/18,曇時々雨,1
2021/5/19,雨一時曇,1
2021/5/20,曇時々雨,1
2021/5/21,雨時々曇,1
2021/5/22,曇時々雨,1
2021/5/23,晴一時曇,1
2021/5/24,曇一時晴,1
2021/5/25,晴時々曇,1
2021/5/26,薄曇,1
2021/5/27,大雨,1
2021/5/28,薄曇,1
2021/5/29,曇一時晴,1
2021/5/30,晴時々曇一時雨,1
2021/5/31,曇後晴,1
2021/6/1,晴時々曇,1
2021/6/2,曇,1
2021/6/3,曇一時晴,1
2021/6/4,雨,1
2021/6/5,曇,1
2021/6/6,雨後曇,1
2021/6/7,曇後一時晴,1
2021/6/8,晴後曇一時雨,1
2021/6/9,晴一時薄曇,1
2021/6/10,快晴,1
2021/6/11,薄曇,1
2021/6/12,晴時々曇,1
2021/6/13,曇一時雨,1
2021/6/14,雨,1
2021/6/15,晴一時曇,1
2021/6/16,雨時々曇、雷を伴う,1
2021/6/17,曇時々晴一時雨,1
2021/6/18,薄曇一時晴,1
2021/6/19,雨一時曇,1
2021/6/20,曇一時雨,1
2021/6/21,曇後晴,1
2021/6/22,曇,1
2021/6/23,曇時々雨,1
2021/6/24,曇後一時晴,1
2021/6/25,曇時々雨一時晴,1
2021/6/26,薄曇,1
2021/6/27,曇,1
2021/6/28,晴後薄曇,1
2021/6/29,曇時々雨,1
2021/6/30,曇時々雨,1
2021/7/1,大雨時々曇,1
2021/7/2,大雨,1
2021/7/3,雨後曇,1
2021/7/4,雨,1
2021/7/5,曇時々雨,1
2021/7/6,曇時々雨,1
2021/7/7,曇一時雨,1
2021/7/8,雨,1
2021/7/9,雨時々曇,1
2021/7/10,晴時々曇,1
2021/7/11,曇後晴一時雨、雷・ひょうを伴う,1
2021/7/12,薄曇,1
2021/7/13,曇、雷を伴う,1
2021/7/14,曇,1
2021/7/15,曇後晴,1
2021/7/16,曇後晴,1
2021/7/17,晴,1
2021/7/18,晴,1
2021/7/19,晴,1
2021/7/20,晴後薄曇,1
2021/7/21,晴,1
2021/7/22,晴,1
2021/7/23,晴,1
2021/7/24,晴,1
2021/7/25,晴,1
2021/7/26,曇,1
2021/7/27,雨後晴時々曇,1
2021/7/28,曇後晴,1
2021/7/29,曇時々晴,1
2021/7/30,曇時々大雨、雷を伴う,1
2021/7/31,晴一時曇,1
2021/8/1,晴,1
2021/8/2,晴後曇時々雨,1
2021/8/3,曇一時雨後晴,1
2021/8/4,晴,1
2021/8/5,晴後時々薄曇,1
2021/8/6,晴,1
2021/8/7,曇時々雨,1
2021/8/8,大雨後一時曇,1
2021/8/9,曇時々雨後一時晴,1
2021/8/10,晴,1
2021/8/11,晴後薄曇,1
2021/8/12,曇時々雨,1
2021/8/13,雨,1
2021/8/14,雨,1
2021/8/15,大雨,1
2021/8/16,雨時々曇,1
2021/8/17,雨時々曇,1
2021/8/18,晴時々曇一時雨,1
2021/8/19,晴,1
2021/8/20,晴,1
2021/8/21,曇一時晴,1
2021/8/22,曇,1
2021/8/23,曇一時雨後一時晴、雷を伴う,1
2021/8/24,曇,1
2021/8/25,曇,1
2021/8/26,薄曇時々晴,1
2021/8/27,晴時々曇,1
2021/8/28,晴一時曇,1
2021/8/29,曇,1
2021/8/30,晴一時曇,1
2021/8/31,曇,1
2021/9/1,曇時々雨,1
2021/9/2,雨,1
2021/9/3,雨一時曇,1
2021/9/4,雨時々曇,1
2021/9/5,曇一時雨,1
2021/9/6,曇時々雨,1
2021/9/7,曇一時晴,1
2021/9/8,曇後雨,1
2021/9/9,雨後時々曇,1
2021/9/10,晴一時曇,1
2021/9/11,曇時々雨,1
2021/9/12,曇一時雨,1
2021/9/13,薄曇,1
2021/9/14,曇後時々雨,1
2021/9/15,晴時々薄曇,1
2021/9/16,晴時々曇,1
2021/9/17,曇,1
2021/9/18,大雨時々曇,1
2021/9/19,快晴,1
2021/9/20,快晴,1
2021/9/21,晴,1
2021/9/22,曇一時雨後晴,1
2021/9/23,晴,1
2021/9/24,晴,1
2021/9/25,曇,1
2021/9/26,曇時々雨,1
2021/9/27,曇時々晴,1
2021/9/28,曇後晴,1
2021/9/29,晴時々曇,1
2021/9/30,曇後時々雨,1
2021/10/1,大雨,1
2021/10/2,晴,1
2021/10/3,晴,1
2021/10/4,晴一時曇,1
2021/10/5,晴後薄曇,1
2021/10/6,晴時々曇,1
2021/10/7,曇,1
2021/10/8,晴,1
2021/10/9,曇時々晴,1
2021/10/10,曇一時雨後晴,1
2021/10/11,晴一時曇,1
2021/10/12,曇後雨,1
2021/10/13,雨,1
2021/10/14,曇後晴,1
2021/10/15,晴,1
2021/10/16,曇一時雨,1
2021/10/17,雨後曇,1
2021/10/18,晴,1
2021/10/19,曇一時雨,1
2021/10/20,快晴,1
2021/10/21,曇時々晴,1
2021/10/22,雨,1
2021/10/23,快晴,1
2021/10/24,晴一時薄曇,1
2021/10/25,曇,1
2021/10/26,晴一時雨,1
2021/10/27,曇時々雨,1
2021/10/28,快晴,1
2021/10/29,快晴,1
2021/10/30,晴,1
2021/10/31,曇後雨,1
2021/11/1,曇一時晴,1
2021/11/2,曇後晴,1
2021/11/3,晴時々曇,1
2021/11/4,晴後薄曇,1
2021/11/5,快晴,1
2021/11/6,晴一時薄曇,1
2021/11/7,薄曇,1
2021/11/8,晴時々曇,1
2021/11/9,大雨時々曇、雷を伴う,1
2021/11/10,晴一時曇,1
2021/11/11,快晴,1
2021/11/12,晴後薄曇,1
2021/11/13,快晴,1
2021/11/14,晴,1
2021/11/15,快晴,1
2021/11/16,曇時々晴,1
2021/11/17,晴,1
2021/11/18,曇,1
2021/11/19,晴時々薄曇,1
2021/11/20,快晴,1
2021/11/21,曇後一時雨,1
2021/11/22,曇時々雨,1
2021/11/23,晴時々曇,1
2021/11/24,快晴,1
2021/11/25,快晴,1
2021/11/26,快晴,1
2021/11/27,晴,1
2021/11/28,快晴,1
2021/11/29,薄曇時々晴,1
2021/11/30,晴後一時曇,1
2021/12/1,晴一時雨,1
2021/12/2,快晴,1
2021/12/3,快晴,1
2021/12/4,快晴,1
2021/12/5,晴後曇,1
2021/12/6,曇,1
2021/12/7,曇,1
2021/12/8,雨,1
2021/12/9,晴時々曇,1
2021/12/10,薄曇,1
2021/12/11,快晴,1
2021/12/12,曇後晴,1
2021/12/13,快晴,1
2021/12/14,曇時々雨,1
2021/12/15,快晴,1
2021/12/16,薄曇時々晴,1
2021/12/17,曇時々雨,1
2021/12/18,快晴,1
2021/12/19,快晴,1
2021/12/20,晴,1
